Date,y
11/22/2018,559
11/23/2018,283757
11/24/2018,188856
11/25/2018,115498
11/26/2018,458896
11/27/2018,423335
11/28/2018,443932
11/29/2018,440793
11/30/2018,374659
12/1/2018,227857
12/2/2018,117476
12/3/2018,362017
12/4/2018,396546
12/5/2018,312653
12/6/2018,319748
12/7/2018,422948
12/8/2018,227599
12/9/2018,117132
12/10/2018,371391
12/11/2018,409102
12/12/2018,441309
12/13/2018,392848
12/14/2018,341463
12/15/2018,212162
12/16/2018,117003
12/17/2018,337077
12/18/2018,341420
12/19/2018,314717
12/20/2018,290293
12/21/2018,252625
12/22/2018,157939
12/23/2018,77486
12/24/2018,115455
12/25/2018,43
12/26/2018,274383
12/27/2018,225191
12/28/2018,218139
12/29/2018,128269
12/30/2018,68241
12/31/2018,146587
1/1/2019,57147
1/2/2019,217107
1/3/2019,340775
1/4/2019,408500
1/5/2019,280446
1/6/2019,140395
1/7/2019,413187
1/8/2019,469044
1/9/2019,537500
1/10/2019,501208
1/11/2019,409274
1/12/2019,244283
1/13/2019,128226
1/14/2019,381324
1/15/2019,475795
1/16/2019,488351
1/17/2019,418648
1/18/2019,369585
1/19/2019,248282
1/20/2019,132010
1/21/2019,320608
1/22/2019,411424
1/23/2019,441567
1/24/2019,430731
1/25/2019,372380
1/26/2019,225922
1/27/2019,129774
1/28/2019,380722
1/29/2019,514409
1/30/2019,538833
1/31/2019,462766
2/1/2019,412843
2/2/2019,271717
2/3/2019,147533
2/4/2019,436192
2/5/2019,693160
2/6/2019,776795
2/7/2019,620232
2/8/2019,514925
2/9/2019,316351
2/10/2019,181718
2/11/2019,489039
2/12/2019,543262
2/13/2019,510496
2/14/2019,408371
2/15/2019,442427
2/16/2019,272835
2/17/2019,151962
2/18/2019,362877
2/19/2019,455843
2/20/2019,574781
2/21/2019,514194
2/22/2019,437138
2/23/2019,258559
2/24/2019,155875
2/25/2019,516086
2/26/2019,587552
2/27/2019,536855
2/28/2019,504519
3/1/2019,465432
3/2/2019,299495
3/3/2019,168259
3/4/2019,518408
3/5/2019,626596
3/6/2019,586133
3/7/2019,451586
3/8/2019,367220
3/9/2019,234178
3/10/2019,141169
3/11/2019,500950
3/12/2019,547304
3/13/2019,613051
3/14/2019,494328
3/15/2019,439632
3/16/2019,271588
3/17/2019,142416
3/18/2019,454037
3/19/2019,583080
3/20/2019,621178
3/21/2019,546659
3/22/2019,464142
3/23/2019,262601
3/24/2019,152779
3/25/2019,564590
3/26/2019,673853
3/27/2019,590089
3/28/2019,511786
3/29/2019,426904
3/30/2019,278984
3/31/2019,167915
4/1/2019,450941
4/2/2019,486846
4/3/2019,485384
4/4/2019,420970
4/5/2019,363264
4/6/2019,202831
4/7/2019,120099
4/8/2019,415165
4/9/2019,459627
4/10/2019,460702
4/11/2019,426474
4/12/2019,372423
4/13/2019,229534
4/14/2019,138718
4/15/2019,373971
4/16/2019,412198
4/17/2019,434773
4/18/2019,379174
4/19/2019,339227
4/20/2019,187222
4/21/2019,76368
4/22/2019,406479
4/23/2019,460358
4/24/2019,447329
4/25/2019,401620
4/26/2019,330068
4/27/2019,185158
4/28/2019,105565
4/29/2019,325123
4/30/2019,302118
5/1/2019,341635
5/2/2019,323704
5/3/2019,292185
5/4/2019,168345
5/5/2019,94256
5/6/2019,403727
5/7/2019,497639
5/8/2019,501466
5/9/2019,396030
5/10/2019,328176
5/11/2019,197499
5/12/2019,102297
5/13/2019,428538
5/14/2019,568976
5/15/2019,578608
5/16/2019,486631
5/17/2019,404673
5/18/2019,228287
5/19/2019,139621
5/20/2019,478375
5/21/2019,509335
5/22/2019,529072
5/23/2019,442040
5/24/2019,383689
5/25/2019,221880
5/26/2019,116229
5/27/2019,161981
5/28/2019,426689
5/29/2019,451457
5/30/2019,426388
5/31/2019,383345
6/1/2019,216376
6/2/2019,125947
6/3/2019,605956
6/4/2019,607332
6/5/2019,560677
6/6/2019,417702
